Issue Type,Summary,Description,Assignee,Reporter,Priority,Status,Resolution,Created,Updated
Epic,Recruiting Module Implementation,"Implement the Recruiting Module including Database, Backend API, Services, and Frontend Integration.",,,,To Do,,,
Story,Database Schema & Migration,"Create the necessary database tables using raw SQL as defined in `backend/sql/recruiting_schema.sql`. Includes `recruiting_pipelines`, `recruiting_resources`, `recruiting_resource_packets`, `job_post_templates`.",,,,To Do,,,
Task,Create `recruiting_pipelines` table,"Run the SQL script in `backend/sql/recruiting_schema.sql` to create the table. Ensure foreign keys map to `agent` table correctly.",,,,To Do,,,
Task,Create Resource tables,"Run SQL for `recruiting_resources` and `recruiting_resource_packets`. Reference: `backend/sql/recruiting_schema.sql`",,,,To Do,,,
Task,Create Job Post tables,"Run SQL for `job_post_templates`. Reference: `backend/sql/recruiting_schema.sql`",,,,To Do,,,
Story,Backend Services Implementation,"Implement the helper services for SMS, Email, and XML generation.",,,,To Do,,,
Task,Implement SMS Service,"Use `backend/services/SmsService.js` as the reference implementation. Integrate with Twilio SDK. Ensure environment variables `TWILIO_ACCOUNT_SID` and `TWILIO_AUTH_TOKEN` are set.",,,,To Do,,,
Task,Implement Email Service,"Use `backend/services/EmailService.js`. Reference logic uses `@sendgrid/mail`. Ensure `SENDGRID_API_KEY` is configured.",,,,To Do,,,
Task,Implement XML Feed Service,"Use `backend/services/XmlFeedService.js`. Ensure it generates valid XML for job boards (Indeed/ZipRecruiter format).",,,,To Do,,,
Story,Recruiting API & Controller,"Develop the Core API logic in `recruitingController.js` and expose routes.",,,,To Do,,,
Task,Scaffold Controller,"Create `backend/controllers/recruitingController.js`. Implement `getDashboardData`, `savePipelines`, `createRecruit`, `updateRecruit`, etc.",,,,To Do,,,
Task,Implement Automation Logic,"In `updateRecruit` function in controller, add logic to check for stage changes. Trigger `SmsService` or `EmailService` based on `recruiting_pipelines` config. See `backend/controllers/recruitingController.js` lines ~130-180.",,,,To Do,,,
Task,Setup Routes,"Create `backend/routes/recruiting.js`. Register routes and apply `authMiddleware` (except for public XML feeds).",,,,To Do,,,
Story,Frontend Integration (Hand-off),"Connect the existing frontend prototype to the new API.",,,,To Do,,,
Task,Update API Utilities,"Modify `frontend/src/utils/recruiting-api.ts` to replace mock delays/data with real `axios` or `fetch` calls to the new `/api/recruiting/*` endpoints.",,,,To Do,,,
Task,Remove Mock Data,"Delete or deprecate mock data files in `frontend/src/components/recruiting/` once API integration is verified.",,,,To Do,,,
